"lessonTitle","lessonId","userId","factText","factAnswer","fileName","fileType","fileId","factId","presentationStartTime","presentationDuration","reactionTime","sessionTime","correct","givenResponse","backSpaceUsed","backSpacedFirstLetter","numberOfChoices","lookAheadTime","forgetThreshold","maxAlpha","minAlpha","keyCode","keyCharacter","keyTime","sessionId","aggregateResponse"
"English-Swahili A",1266,60538,"flavor","ladha",,,,60266,1625507980336,2674,1320,476479,TRUE,"ladha",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;65;68;72;65","L;A;D;H;A","1625507981656;1625507981822;1625507982540;1625507982645;1625507982780","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"egg","yai",,,,57504,1625507984020,1649,1327,479138,TRUE,"yai",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"89;65;73","Y;A;I","1625507985347;1625507985455;1625507985540","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"broom","fagio",,,,57507,1625507986679,2573,1461,482721,TRUE,"fagio",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"70;65;71;73;79","F;A;G;I;O","1625507988140;1625507988466;1625507988709;1625507988761;1625507988919","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"beer","pombe",,,,57505,1625507990262,2127,1252,485858,TRUE,"pombe",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"80;79;77;66;69","P;O;M;B;E","1625507991514;1625507991682;1625507991835;1625507992024;1625507992147","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"mattress","godoro",,,,57506,1625507993400,2247,1545,489116,TRUE,"godoro",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"71;79;68;79;82;79","G;O;D;O;R;O","1625507994945;1625507995080;1625507995213;1625507995276;1625507995392;1625507995480","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"rope","kamba",,,,60270,1625507996658,2689,1654,492816,TRUE,"kamba",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"75;65;77;66;65","K;A;M;B;A","1625507998312;1625507998534;1625507998596;1625507998799;1625507998895","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"blame","lawama",,,,60271,1625508000358,2399,1367,496226,TRUE,"lawama",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;65;87;65;77;65","L;A;W;A;M;A","1625508001725;1625508001916;1625508002082;1625508002271;1625508002358;1625508002438","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"forgery","ubini",,,,60267,1625508003767,3109,1274,500345,TRUE,"ubini",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"85;66;73;78;73","U;B;I;N;I","1625508005041;1625508005192;1625508005349;1625508005455;1625508006022","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"dog","mbwa",,,,57494,1625508004113,3318,3318,3320,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"stump","gutu",,,,60268,1625508007887,2555,2096,503911,TRUE,"gutu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"71;85;84;85","G;U;T;U","1625508009983;1625508010082;1625508010170;1625508010256","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"dog","mbwa",,,,57494,1625508007432,7345,2118,10666,FALSE,"mwaba",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;87;65;66;65","M;W;A;B;A","1625508009550;1625508009759;1625508009961;1625508010206;1625508010406","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"economy","iktisadi",,,,57497,1625508011454,3392,1444,508315,TRUE,"iktisadi",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"73;75;84;73;83;65;68;73","I;K;T;I;S;A;D;I","1625508012898;1625508013391;1625508013574;1625508013669;1625508013868;1625508014057;1625508014219;1625508014323","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"story","hadithi",,,,60269,1625508015858,6176,1474,515503,TRUE,"hadithi",TRUE,FALSE,0,15000,-0.8,0.5,0.15,"72;73;8;65;68;73;84;72;73","H;I;;A;D;I;T;H;I","1625508017332;1625508017558;1625508020621;1625508020890;1625508021080;1625508021204;1625508021339;1625508021419;1625508021548","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
